No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
461,33.0250,18.0000, , ,1.0000, ,2.71018
462,33.0750,26.0000, , ,1.0000, ,2.70620
463,33.1250,34.0000, , ,1.0000, ,2.70222
464,33.1750,31.0000, , ,1.0000, ,2.69827
465,33.2250,47.0000, , ,1.0000, ,2.69432
466,33.2750,59.0000, , ,1.0000, ,2.69039
467,33.3250,37.0000, , ,1.0000, ,2.68646
468,33.3750,34.0000, , ,1.0000, ,2.68255
469,33.4250,23.0000, , ,1.0000, ,2.67865
470,33.4750,27.0000, , ,1.0000, ,2.67477
471,33.5250,17.0000, , ,1.0000, ,2.67089
472,33.5750,20.0000, , ,1.0000, ,2.66703
473,33.6250,18.0000, , ,1.0000, ,2.66318
474,33.6750,20.0000, , ,1.0000, ,2.65934
475,33.7250,14.0000, , ,1.0000, ,2.65551
476,33.7750,18.0000, , ,1.0000, ,2.65169
477,33.8250,28.0000, , ,1.0000, ,2.64789
478,33.8750,18.0000, , ,1.0000, ,2.64409
479,33.9250,17.0000, , ,1.0000, ,2.64031
480,33.9750,23.0000, , ,1.0000, ,2.63654
481,34.0250,21.0000, , ,1.0000, ,2.63278
482,34.0750,24.0000, , ,1.0000, ,2.62903
483,34.1250,20.0000, , ,1.0000, ,2.62529
484,34.1750,26.0000, , ,1.0000, ,2.62156
485,34.2250,23.0000, , ,1.0000, ,2.61785
486,34.2750,24.0000, , ,1.0000, ,2.61414
487,34.3250,25.0000, , ,1.0000, ,2.61045
488,34.3750,20.0000, , ,1.0000, ,2.60677
489,34.4250,32.0000, , ,1.0000, ,2.60310
490,34.4750,30.0000, , ,1.0000, ,2.59944
491,34.5250,27.0000, , ,1.0000, ,2.59579
492,34.5750,33.0000, , ,1.0000, ,2.59215
493,34.6250,41.0000, , ,1.0000, ,2.58852
494,34.6750,46.0000, , ,1.0000, ,2.58490
495,34.7250,43.0000, , ,1.0000, ,2.58129
496,34.7750,54.0000, , ,1.0000, ,2.57769
497,34.8250,70.0000, , ,1.0000, ,2.57411
498,34.8750,73.0000, , ,1.0000, ,2.57053
499,34.9250,111.0000, , ,1.0000, ,2.56697
500,34.9750,138.0000, , ,1.0000, ,2.56341
501,35.0250,194.0000, , ,1.0000, ,2.55987
502,35.0750,331.0000, , ,1.0000, ,2.55633
503,35.1250,495.0000, , ,1.0000, ,2.55281
